Symbol,Entry_Price,Exit_Price,Outcome,Profit_Loss_USDT,Entry_Time,Exit_Time
XTZ/USDT,0.54,0.54,Loss,0.0,2025-04-23 15:19:21,2025-04-23 15:20:36
IOTX/USDT,0.02,0.02,Loss,0.0,2025-04-23 15:43:26,2025-04-23 15:43:27
FET/USDT,0.63,0.63,Loss,0.0,2025-04-23 15:43:09,2025-04-23 15:48:31
TRB/USDT,28.55,28.62,Timeout,2.45,2025-04-23 15:55:54,2025-04-23 16:28:41
SLF/USDT,0.2145,0.2154,Timeout,4.2,2025-04-23 16:01:13,2025-04-23 16:28:41
ONE/USDT,0.0134,0.0134,Loss,0.0,2025-04-23 16:39:11,2025-04-23 16:39:16
EGLD/USDT,15.58,15.68,Win,6.42,2025-04-23 16:39:08,2025-04-23 16:51:50
SOLV/USDT,0.031,0.0312,Timeout,6.77,2025-04-23 16:39:07,2025-04-23 16:57:08
YGG/USDT,0.2017,0.2026,Timeout,4.46,2025-04-23 16:39:11,2025-04-23 16:57:08
ANKR/USDT,0.0198,0.0197,Loss,-5.05,2025-04-23 17:02:25,2025-04-23 17:13:07
FLOKI/USDT,0.0001,0.0001,Loss,0.0,2025-04-23 17:13:03,2025-04-23 17:13:07
FDUSD/USDT,0.9984,0.9983,Timeout,-0.1,2025-04-23 17:07:30,2025-04-23 17:23:12
BTC/USDT,93815.0,93006.0,Timeout,-8.62,2025-04-23 17:13:01,2025-04-23 17:28:42
TRUMP/USDT,9.44,9.32,Timeout,-12.71,2025-04-23 17:13:01,2025-04-23 17:28:43
ADA/USDT,0.7096,0.7016,Timeout,-11.27,2025-04-23 17:13:01,2025-04-23 17:28:44
ENA/USDT,0.3523,0.3454,Timeout,-19.59,2025-04-23 17:13:02,2025-04-23 17:28:44
S/USDT,0.5274,0.5203,Timeout,-13.46,2025-04-23 17:13:02,2025-04-23 17:28:45
NEAR/USDT,2.52,2.48,Timeout,-15.48,2025-04-23 17:13:02,2025-04-23 17:28:46
ONDO/USDT,0.9387,0.9259,Timeout,-13.64,2025-04-23 17:13:03,2025-04-23 17:28:46
OP/USDT,0.764,0.755,Timeout,-11.78,2025-04-23 17:13:04,2025-04-23 17:28:47
VET/USDT,0.0263,0.026,Timeout,-11.41,2025-04-23 17:13:05,2025-04-23 17:28:48
TRUMP/USDT,9.41,9.43,Timeout,2.13,2025-04-23 17:54:48,2025-04-23 18:10:02
PNUT/USDT,0.1636,0.1642,Timeout,3.67,2025-04-23 17:54:49,2025-04-23 18:10:03
SEI/USDT,0.1954,0.1948,Timeout,-3.07,2025-04-23 17:54:49,2025-04-23 18:10:03
JUP/USDT,0.4627,0.4617,Timeout,-2.16,2025-04-23 17:54:50,2025-04-23 18:10:04
POL/USDT,0.2231,0.2227,Timeout,-1.79,2025-04-23 17:54:50,2025-04-23 18:10:05
OP/USDT,0.762,0.76,Timeout,-2.62,2025-04-23 17:54:51,2025-04-23 18:10:05
ORDI/USDT,7.77,7.69,Timeout,-10.3,2025-04-23 17:54:51,2025-04-23 18:10:06
W/USDT,0.0825,0.0826,Timeout,1.21,2025-04-23 17:54:52,2025-04-23 18:10:06
RARE/USDT,0.0601,0.0606,Timeout,8.32,2025-04-23 17:54:53,2025-04-23 18:10:07
XAI/USDT,0.0613,0.0613,Timeout,0.0,2025-04-23 17:54:53,2025-04-23 18:10:08
FIDA/USDT,0.0802,0.0806,Timeout,4.99,2025-04-23 17:54:53,2025-04-23 18:10:08
PARTI/USDT,0.1875,0.1869,Timeout,-3.2,2025-04-23 17:54:54,2025-04-23 18:10:09
SCR/USDT,0.284,0.2861,Trailing Stop,7.53,2025-04-23 20:08:00,2025-04-23 20:45:18
TON/USDT,3.12,3.16,Trailing Stop,13.62,2025-04-23 20:02:30,2025-04-23 22:52:08
XAI/USDT,0.0603,0.0598,Loss,-8.29,2025-04-23 20:34:28,2025-04-23 22:52:08
SCR/USDT,0.281,0.2822,Trailing Stop,4.1,2025-04-24 01:24:33,2025-04-24 01:35:56
BROCCOLI714/USDT,0.0328,0.0331,Trailing Stop,9.16,2025-04-26 13:39:47,2025-04-26 14:06:13
PDA/USDT,0.0111,0.0116,Win,45.05,2025-04-26 15:14:38,2025-04-26 15:30:32
API3/USDT,0.809,0.8058,Loss,-3.96,2025-04-28 15:52:08,2025-04-28 16:20:06
MAV/USDT,0.0623,0.062,Loss,-4.82,2025-04-28 16:12:07,2025-04-28 16:20:47
